Time [s];Velocity [km/h];Longitudinal Acceleration [m/s2];SOC [%];Battery Temperature [degC];Battery Voltage [V];Battery Current [A];Heating Power CAN [kW];Ambient Temperature [degC]
367.0;64.51;-0.0066;75.73;24.46;365.92;51.88;0.241;13.59
368.0;65.12;0.2;75.64;24.41;366.25;60.93;0.241;13.52
369.0;65.51;0.0436;75.62;24.35;365.71;66.16;0.302;13.72
370.0;65.01;-0.1378;75.62;24.14;365.07;59.66;0.09;13.66
371.0;65.8;0.2108;75.57;24.2;367.12;57.14;0.18;13.62
372.0;65.51;-0.065;75.49;24.34;366.97;55.51;0.162;13.63
373.0;65.5;-0.003;75.48;24.15;368.71;53.4;0.0;13.93
374.0;65.33;-0.1061;75.45;24.42;365.79;65.3;0.294;14.31
375.0;66.4;0.2451;75.68;24.45;367.42;57.32;0.031;14.01
376.0;64.88;-0.4209;75.5;24.37;367.07;-15.51;0.439;14.08
377.0;63.8;-0.2586;75.4;24.2;366.19;-18.47;0.245;13.71
378.0;65.96;0.5127;75.46;24.14;367.51;50.7;0.0;13.83
379.0;64.72;-0.3298;75.32;24.24;367.28;-20.2;0.0;13.91
380.0;65.06;0.1419;75.51;24.52;367.12;54.13;0.132;13.64
381.0;65.79;0.1942;75.32;24.49;366.03;57.18;0.019;13.69
382.0;64.04;-0.4633;75.4;24.06;366.07;-19.2;0.117;14.01
383.0;64.25;0.0303;75.43;24.53;364.92;68.02;0.083;14.07
384.0;64.04;-0.063;75.36;24.28;365.45;51.53;0.113;13.82
385.0;64.52;0.0697;75.32;24.63;365.59;57.21;0.129;13.5
386.0;65.26;0.1119;75.3;24.61;364.95;59.47;0.176;13.73
387.0;65.31;0.0518;75.28;24.46;366.78;57.04;0.0;13.44
388.0;65.17;-0.0807;75.22;24.52;367.57;57.35;0.308;13.82
389.0;64.15;-0.2997;75.22;24.65;365.04;-21.59;0.13;13.86
390.0;63.61;-0.205;75.36;24.77;366.75;55.86;0.149;13.73
391.0;65.03;0.3377;75.22;24.27;364.88;58.83;0.0;13.86
392.0;64.72;-0.0946;75.15;24.5;365.61;57.79;0.176;13.9
393.0;65.28;0.126;75.15;24.68;365.16;59.29;0.008;13.86
394.0;65.42;0.0556;75.27;24.48;366.95;62.8;0.284;13.5
395.0;65.08;-0.0758;75.22;24.67;365.31;60.58;0.09;13.74
396.0;65.46;0.1165;75.19;24.43;367.29;57.47;0.222;13.9
397.0;65.14;-0.0789;75.11;24.91;365.62;52.19;0.042;14.19
398.0;65.32;0.1133;75.16;24.86;365.24;54.65;0.438;13.73
399.0;64.58;-0.2485;75.05;24.58;364.28;55.47;0.306;13.94
400.0;60.34;-1.1786;75.07;24.54;366.12;-12.03;0.288;14.02
401.0;56.34;-1.0674;75.15;24.78;367.06;-18.29;0.053;13.75
402.0;52.78;-0.9386;75.13;24.4;366.27;-16.07;0.193;14.09
403.0;48.39;-1.2759;74.97;24.37;368.3;-19.61;0.479;14.1
404.0;45.53;-0.8055;74.96;24.81;367.32;-21.16;0.284;14.15
405.0;41.89;-0.9561;75.03;24.72;365.37;-18.7;0.108;13.91
406.0;39.04;-0.7727;75.14;24.64;365.6;-14.7;0.0;14.39
407.0;36.87;-0.5948;74.84;24.67;365.92;-19.56;0.433;13.65
408.0;32.63;-1.1864;75.0;24.23;364.68;-20.61;0.0;14.33
409.0;30.68;-0.557;74.86;24.53;366.79;-17.53;0.097;13.99
410.0;28.37;-0.6311;74.91;24.4;365.93;-16.5;0.076;14.14
411.0;25.81;-0.7209;74.92;24.7;365.82;-13.07;0.202;13.72
412.0;24.9;-0.2549;74.9;24.78;366.3;-16.94;0.247;14.01
413.0;23.98;-0.2509;74.88;24.64;367.51;-16.07;0.267;14.16
414.0;21.71;-0.6571;74.91;24.7;365.71;-15.84;0.009;13.53
415.0;20.47;-0.3238;74.86;24.31;365.26;-21.46;0.167;13.76
416.0;19.58;-0.1306;74.77;24.56;367.03;10.47;0.32;13.26
417.0;18.4;-0.3994;74.94;24.82;366.72;-20.89;0.248;13.76
418.0;16.33;-0.5621;74.93;24.78;365.15;-21.25;0.031;13.6
419.0;16.04;-0.1116;74.93;24.88;365.54;12.64;0.084;13.75
420.0;14.21;-0.4832;74.72;24.29;365.35;-22.0;0.265;14.53
421.0;12.67;-0.4284;74.86;24.64;365.83;-15.61;0.307;14.23
422.0;11.89;-0.1851;74.88;24.68;363.81;11.71;0.351;13.44
423.0;10.5;-0.3388;74.73;24.65;363.29;-17.13;0.0;13.94
424.0;10.06;-0.115;74.81;24.64;364.22;8.6;0.256;14.0
425.0;9.64;-0.0723;74.79;24.73;364.09;5.7;0.137;13.72
426.0;9.64;-0.0917;74.93;24.64;364.77;4.36;0.339;13.84
427.0;9.55;0.0383;74.93;24.69;366.3;2.97;0.021;13.87
428.0;7.09;-0.6678;74.63;24.75;364.73;-17.76;0.0;13.46
429.0;7.6;0.1849;74.96;24.24;365.83;0.98;0.272;13.54
430.0;11.13;0.9301;74.67;24.6;363.54;9.04;0.109;13.84
431.0;16.12;1.3519;74.81;24.41;364.75;3.96;0.0;13.82
432.0;19.54;0.9582;74.8;24.64;365.98;11.4;0.257;13.62
433.0;22.05;0.6956;74.63;24.61;365.65;24.13;0.262;13.6
434.0;26.99;1.3822;74.74;24.64;364.28;18.13;0.264;13.78
435.0;29.12;0.6351;74.68;24.8;365.22;21.7;0.067;14.02
436.0;31.99;0.7292;74.72;24.59;367.75;21.86;0.107;13.78
437.0;34.31;0.6824;74.68;24.83;365.01;28.94;0.036;14.21
438.0;37.01;0.7511;74.75;24.72;364.34;27.22;0.107;13.63
439.0;39.94;0.806;74.65;24.58;364.75;32.2;0.088;13.85
440.0;41.7;0.4277;74.61;24.46;365.0;38.01;0.485;13.71
441.0;43.98;0.6546;74.7;24.91;364.89;33.99;0.434;13.95
442.0;45.84;0.4188;74.65;24.77;364.92;41.7;0.0;13.6
443.0;48.12;0.6598;74.65;24.66;363.22;44.0;0.441;14.28
444.0;48.71;0.104;74.52;24.78;363.54;45.49;0.15;13.38
445.0;49.5;0.2232;74.48;24.68;364.43;42.59;0.126;14.23
446.0;52.4;0.8006;74.5;25.05;364.46;57.75;0.293;13.82
447.0;52.84;0.1683;74.48;24.74;363.94;49.42;0.0;13.94
448.0;54.89;0.5637;74.58;24.75;364.61;48.45;0.084;14.13
449.0;55.56;0.1571;74.58;24.65;364.9;44.28;0.356;14.01
450.0;56.28;0.1792;74.48;24.98;365.68;48.08;0.31;13.62
451.0;57.52;0.3962;74.59;24.6;364.72;55.35;0.0;13.95
452.0;59.37;0.5352;74.57;24.42;365.28;58.24;0.207;14.27
453.0;60.27;0.235;74.46;24.81;363.93;58.17;0.347;13.58
454.0;59.84;-0.1307;74.36;24.52;365.07;54.98;0.267;14.33
455.0;60.6;0.1509;74.54;24.78;365.19;47.55;0.357;13.9
456.0;61.82;0.3528;74.39;25.13;365.48;55.68;0.447;13.69
457.0;61.28;-0.2191;74.4;24.83;365.3;48.25;0.178;13.58
458.0;62.57;0.3862;74.34;24.84;365.04;48.49;0.268;13.74
459.0;62.88;0.0938;74.28;24.7;364.1;55.7;0.327;13.31
460.0;63.59;0.2902;74.22;24.86;364.39;57.5;0.372;13.7
461.0;63.36;-0.1068;74.38;25.1;365.68;58.8;0.184;13.73
462.0;63.34;-0.0107;74.25;24.69;363.36;57.16;0.0;13.53
463.0;63.44;0.1024;74.54;24.69;363.99;57.4;0.0;13.99
464.0;64.39;0.3102;74.19;25.0;364.25;52.23;0.357;13.75
465.0;65.13;0.178;74.16;24.87;364.47;56.45;0.21;13.64
466.0;65.55;0.1259;74.29;25.35;363.24;51.25;0.373;13.72
467.0;67.19;0.4549;74.36;24.8;364.28;50.82;0.29;13.89
468.0;66.97;-0.05;74.22;25.27;363.98;61.58;0.0;13.82
469.0;65.99;-0.3008;74.25;25.0;361.49;-25.78;0.0;13.62
470.0;67.01;0.2815;74.04;25.07;363.46;62.15;0.267;13.83
471.0;66.78;-0.1276;74.12;24.78;363.69;62.88;0.386;13.79
472.0;67.07;0.0836;74.07;25.12;363.59;56.23;0.244;13.52
473.0;67.54;0.15;73.99;25.05;365.32;61.52;0.002;13.73
474.0;67.98;0.1132;74.14;24.78;362.46;56.94;0.083;13.94
475.0;67.57;-0.1779;73.93;24.95;362.51;51.81;0.465;13.94
476.0;68.57;0.3166;73.99;24.82;360.48;60.64;0.049;13.74
477.0;67.39;-0.3128;74.04;25.26;363.14;-11.83;0.0;13.97
478.0;68.22;0.1997;74.0;24.98;363.16;58.04;0.374;13.56
479.0;69.9;0.4554;74.08;25.07;363.19;69.3;0.284;13.56
480.0;68.59;-0.4235;74.06;24.74;365.08;-20.68;0.307;13.74
481.0;69.42;0.1907;74.09;24.82;364.85;62.48;0.265;14.17
482.0;68.72;-0.2172;74.06;24.91;363.86;56.3;0.392;13.84
483.0;69.1;0.1567;74.08;24.96;363.35;64.28;0.009;13.73
484.0;68.81;-0.1076;73.97;25.16;364.81;61.56;0.068;14.19
485.0;68.82;0.0292;73.98;25.03;363.57;61.9;0.216;13.73
486.0;68.53;-0.1021;73.98;25.48;362.62;56.33;0.084;14.36
487.0;69.33;0.231;73.94;25.3;361.45;57.8;0.286;13.67
488.0;68.62;-0.2012;73.88;25.44;362.86;63.9;0.097;13.55
489.0;69.59;0.3046;73.87;24.99;364.27;68.2;0.0;13.76
490.0;69.9;0.0642;73.81;24.8;365.99;63.33;0.13;13.74
491.0;69.52;-0.1681;73.9;25.19;363.5;57.46;0.241;13.6
492.0;69.18;-0.1505;73.84;24.74;362.39;62.08;0.162;14.45
493.0;69.67;0.1147;73.78;25.33;361.76;70.9;0.117;13.88
494.0;69.25;-0.1654;73.76;25.09;363.81;61.2;0.273;13.92
495.0;70.04;0.2347;73.7;25.13;360.91;67.39;0.104;13.68
496.0;68.42;-0.4697;73.86;25.33;364.02;-11.84;0.12;13.66
497.0;69.35;0.3537;73.78;25.27;364.16;60.71;0.308;14.06
498.0;68.39;-0.3366;73.68;25.01;363.51;-22.35;0.333;13.38
499.0;68.71;0.0989;73.8;25.37;362.97;61.87;0.217;13.51
500.0;70.46;0.4389;73.68;25.04;363.65;58.87;0.604;13.74
501.0;70.2;-0.0908;73.59;25.52;363.01;58.45;0.443;14.14
502.0;69.25;-0.2569;73.77;25.26;362.24;-20.44;0.103;13.71
503.0;68.81;-0.2174;73.63;25.41;365.11;65.13;0.094;13.9
504.0;67.95;-0.2285;73.63;25.47;362.45;65.6;0.246;13.81
505.0;69.42;0.4849;73.65;25.36;363.85;68.17;0.133;14.12
506.0;71.22;0.4807;73.72;25.36;360.16;63.2;0.227;13.4
507.0;70.04;-0.316;73.61;25.2;364.38;-24.61;0.146;13.98
508.0;69.46;-0.1205;73.5;25.59;364.38;66.39;0.185;13.75
509.0;70.09;0.1682;73.63;25.41;362.91;64.44;0.302;14.03
510.0;68.89;-0.3572;73.53;25.55;363.34;-16.91;0.253;13.6
511.0;69.66;0.123;73.7;25.42;363.7;57.04;0.438;13.81
512.0;69.91;0.0949;73.54;25.21;361.91;63.38;0.116;13.77
513.0;69.81;-0.0325;73.34;25.47;362.94;60.61;0.385;13.55
514.0;70.34;0.1084;73.53;25.49;361.71;61.72;0.0;13.48
515.0;70.08;-0.0667;73.64;25.37;362.18;65.87;0.373;13.65
516.0;70.29;0.033;73.6;25.6;364.17;64.81;0.45;13.83
517.0;69.48;-0.245;73.6;25.31;364.0;66.33;0.153;13.61
518.0;70.44;0.2907;73.36;25.7;361.48;54.19;0.02;13.72
519.0;70.89;0.0702;73.5;25.39;361.73;63.36;0.449;13.33
520.0;69.33;-0.3895;73.35;25.59;361.54;-21.3;0.336;13.71
521.0;69.39;-0.0405;73.41;25.42;363.31;54.81;0.141;14.06
522.0;70.73;0.3456;73.28;25.3;360.96;59.57;0.246;13.98
523.0;69.82;-0.1762;73.31;25.44;362.66;57.96;0.316;13.78
524.0;70.78;0.3123;73.29;25.45;363.09;62.33;0.011;13.86
525.0;69.68;-0.3026;73.4;25.8;362.31;-21.22;0.282;13.59
526.0;70.82;0.2798;73.38;25.66;363.58;70.37;0.169;14.21
527.0;70.03;-0.2407;73.32;25.31;361.89;58.27;0.217;14.32
528.0;70.11;0.025;73.18;25.29;361.7;63.71;0.396;13.84
529.0;70.89;0.2202;73.24;25.85;360.92;64.59;0.082;14.45
530.0;69.74;-0.3239;73.19;25.55;363.21;-22.12;0.432;13.63
531.0;69.4;-0.097;73.31;25.77;361.3;62.52;0.252;13.49
532.0;69.7;0.0743;73.32;25.4;362.66;62.43;0.311;13.62
533.0;70.24;0.0932;73.29;25.77;362.1;68.48;0.127;13.75
534.0;69.03;-0.3564;73.13;25.7;360.6;-15.67;0.175;14.38
535.0;70.35;0.4044;72.96;25.68;360.77;57.6;0.319;13.73
536.0;69.65;-0.2502;73.02;25.73;363.29;-15.87;0.276;13.59
537.0;70.66;0.274;73.26;25.7;362.36;65.7;0.239;13.58
538.0;68.54;-0.6227;73.1;25.92;360.58;-12.56;0.215;14.09
539.0;69.51;0.2729;73.05;25.62;362.07;65.56;0.138;14.05
540.0;68.97;-0.1651;73.23;25.74;361.88;61.27;0.138;13.68
541.0;69.49;0.2029;73.18;25.8;366.11;61.81;0.31;13.33
542.0;70.13;0.1996;73.07;25.78;362.07;62.11;0.133;13.52
543.0;69.88;-0.1233;73.03;25.88;361.19;53.31;0.267;14.23
544.0;69.83;0.0148;73.02;25.61;363.35;61.02;0.124;13.97
545.0;69.89;-0.015;73.04;25.71;359.46;58.72;0.259;13.82
546.0;70.11;0.0376;73.13;25.96;361.97;56.86;0.36;14.27
547.0;69.38;-0.1892;73.02;25.7;364.03;66.65;0.344;14.29
548.0;70.41;0.2665;73.03;25.78;361.51;63.91;0.419;13.79
549.0;70.39;0.0286;73.05;25.65;359.61;61.75;0.017;13.8
550.0;70.22;-0.0771;72.85;25.8;360.8;59.45;0.238;13.65
551.0;70.32;0.004;72.99;25.8;363.31;62.99;0.056;13.73
552.0;70.17;-0.0694;72.89;25.71;361.81;65.63;0.278;13.43
553.0;71.21;0.2673;72.69;25.62;359.96;59.34;0.353;13.43
554.0;69.94;-0.3096;72.71;25.74;360.17;-20.06;0.218;13.37
555.0;69.81;-0.0114;72.78;25.66;360.47;64.79;0.25;14.07
556.0;69.54;-0.0059;72.89;25.71;361.8;53.32;0.333;13.41
557.0;69.37;0.0444;72.84;25.94;362.87;60.68;0.099;14.29
558.0;69.25;-0.0765;72.83;25.72;362.51;59.07;0.101;13.62
559.0;69.46;0.0622;72.96;26.3;362.05;60.45;0.0;14.23
560.0;69.95;0.0894;72.68;25.59;359.35;59.45;0.478;13.71
561.0;70.2;0.0365;72.77;25.81;359.52;62.24;0.438;13.41
562.0;70.03;-0.0723;72.78;26.01;361.78;69.22;0.385;14.12
563.0;69.54;-0.1783;72.68;26.18;359.32;59.76;0.455;14.15
564.0;70.54;0.2356;72.72;25.76;360.76;63.18;0.414;13.57
565.0;70.44;-0.0325;72.58;25.84;361.09;69.9;0.217;13.72
566.0;69.9;-0.1984;72.8;26.13;359.83;59.21;0.074;13.57
567.0;69.61;-0.0485;72.62;25.96;359.59;68.38;0.193;13.77
568.0;70.33;0.1636;72.82;26.26;361.12;61.83;0.433;13.83
569.0;70.11;0.0524;72.64;26.15;361.46;68.73;0.32;13.71
570.0;69.13;-0.2907;72.71;25.98;362.27;-17.34;0.366;13.35
571.0;69.96;0.2329;72.61;26.09;361.52;62.69;0.198;13.65
572.0;70.16;0.0032;72.6;25.68;360.85;61.38;0.061;13.98
573.0;69.46;-0.1253;72.54;26.14;359.75;58.49;0.327;13.75
574.0;70.11;0.2264;72.58;25.83;359.44;61.91;0.095;13.72
575.0;69.13;-0.2622;72.58;26.08;360.11;-21.87;0.182;13.57
576.0;70.8;0.4113;72.47;25.75;361.0;62.21;0.046;13.65
577.0;70.75;-0.0063;72.51;26.15;360.99;60.94;0.213;14.15
578.0;69.85;-0.2949;72.46;25.76;357.96;-19.01;0.235;13.52
579.0;70.22;0.1612;72.67;26.1;359.98;65.68;0.385;13.98
580.0;68.55;-0.4298;72.47;25.78;361.94;-19.56;0.262;13.81
581.0;69.31;0.2128;72.58;25.98;360.83;58.17;0.297;13.86
582.0;69.82;0.0463;72.43;26.27;358.72;58.66;0.245;13.62
583.0;69.36;-0.169;72.45;26.14;363.29;62.41;0.344;13.71
584.0;70.43;0.3253;72.3;26.28;360.13;68.02;0.137;13.8
585.0;71.2;0.2623;72.36;26.38;360.74;67.22;0.171;13.67
586.0;69.29;-0.4846;72.4;25.95;360.83;-16.61;0.319;13.88
587.0;69.5;-0.0071;72.49;26.35;360.11;59.97;0.11;13.91
588.0;70.14;0.1909;72.37;25.83;359.42;57.91;0.034;14.34
589.0;70.97;0.2699;72.44;26.51;363.0;61.35;0.359;13.87
590.0;69.27;-0.5386;72.37;26.2;361.5;-14.95;0.304;13.32
591.0;70.15;0.2449;72.43;26.06;361.41;55.95;0.063;14.09
592.0;71.09;0.273;72.28;26.4;360.81;56.06;0.155;13.75
593.0;69.01;-0.5909;72.46;26.13;359.28;-15.03;0.317;14.3
594.0;69.23;-0.0123;72.22;26.08;361.52;61.92;0.458;14.17
595.0;69.75;0.1299;72.18;26.2;358.9;63.74;0.232;13.67
596.0;69.69;-0.0292;72.13;26.11;360.14;62.95;0.045;13.98
597.0;70.49;0.2163;72.39;26.29;358.38;66.67;0.433;13.65
598.0;70.14;-0.1177;72.26;26.31;357.62;54.59;0.324;13.8
599.0;68.93;-0.3538;72.15;26.42;360.23;-20.53;0.22;13.97
600.0;70.31;0.3801;72.26;26.18;359.11;60.55;0.123;14.08
601.0;69.65;-0.1645;72.2;26.44;357.57;64.1;0.206;14.02
602.0;70.76;0.2965;72.29;26.04;360.78;56.93;0.368;13.82
603.0;69.62;-0.3334;71.99;26.3;362.07;-15.0;0.183;14.42
604.0;69.62;0.0022;72.08;26.04;361.37;62.08;0.531;13.71
605.0;70.32;0.1195;72.05;26.49;359.33;66.43;0.318;13.4
606.0;70.46;0.0561;71.91;26.55;359.37;55.59;0.18;13.45
607.0;70.27;-0.0525;72.14;26.43;360.89;61.88;0.06;14.17
608.0;68.99;-0.354;72.01;26.27;360.92;-18.13;0.263;13.78
609.0;70.32;0.409;72.08;26.53;359.29;63.83;0.217;13.84
610.0;69.38;-0.3402;72.19;26.03;359.98;-18.97;0.425;13.66
611.0;70.14;0.1326;71.96;26.25;359.82;66.78;0.386;13.69
612.0;69.15;-0.2655;71.94;26.48;360.09;-20.13;0.261;13.6
613.0;70.27;0.3114;71.97;25.91;359.32;65.46;0.369;13.92
614.0;69.52;-0.202;72.02;25.97;359.44;66.48;0.0;13.78
615.0;69.23;-0.0978;71.88;26.25;360.96;54.2;0.214;13.91
616.0;70.43;0.3593;71.86;26.69;360.71;64.36;0.019;13.88
617.0;70.14;-0.0414;71.98;26.6;360.08;65.47;0.182;13.69
618.0;69.63;-0.1232;71.91;26.75;361.42;60.12;0.202;13.44
619.0;70.87;0.3338;71.7;26.47;358.47;57.48;0.26;13.41
620.0;69.74;-0.3996;71.75;26.4;360.98;-19.68;0.187;14.56
621.0;70.02;0.1096;71.95;26.36;360.1;56.72;0.061;14.17
622.0;70.16;0.0883;71.85;26.48;363.16;60.94;0.279;14.14
623.0;69.63;-0.1223;71.74;26.28;357.58;60.99;0.307;13.63
624.0;70.28;0.1466;71.77;26.84;358.25;64.63;0.258;13.8
625.0;69.68;-0.1405;71.77;26.95;359.58;58.69;0.04;13.6
626.0;69.75;0.0547;71.81;26.76;359.64;58.53;0.137;13.47
627.0;70.82;0.3581;71.63;26.46;361.13;62.67;0.078;13.65
628.0;69.38;-0.4356;71.66;26.25;358.04;-12.77;0.0;14.13
629.0;68.55;-0.2378;71.73;26.88;360.08;69.27;0.118;14.01
630.0;70.97;0.7005;71.68;26.63;360.29;56.39;0.094;13.56
631.0;71.53;0.1587;71.72;26.58;359.82;64.21;0.0;13.72
632.0;69.76;-0.5371;71.56;26.51;357.5;-17.08;0.295;13.99
633.0;68.84;-0.2387;71.67;26.58;360.57;64.47;0.266;13.66
634.0;69.81;0.2942;71.72;26.43;360.44;57.57;0.224;13.82
635.0;69.83;0.0076;71.65;26.54;359.55;58.64;0.414;13.9
636.0;69.89;0.0248;71.61;26.92;358.99;59.03;0.238;13.9
637.0;69.33;-0.1643;71.57;26.85;358.95;60.56;0.282;13.86
638.0;70.35;0.3413;71.5;26.85;358.43;63.12;0.324;13.64
639.0;70.31;-0.0452;71.55;26.41;359.38;63.73;0.004;13.66
640.0;69.1;-0.36;71.64;26.66;358.84;-17.48;0.177;13.52
641.0;70.42;0.366;71.51;26.85;357.53;56.58;0.206;13.41
642.0;71.23;0.2607;71.43;26.61;357.13;65.58;0.325;13.77
643.0;70.1;-0.3733;71.45;26.57;357.52;-18.79;0.22;14.0
644.0;69.8;-0.1373;71.49;26.84;358.77;65.95;0.439;13.45
645.0;69.91;-0.049;71.43;26.78;358.34;58.59;0.364;13.87
646.0;70.37;0.1275;71.48;27.08;358.74;55.44;0.129;14.0
647.0;68.96;-0.4357;71.47;26.42;359.06;-10.66;0.307;13.34
648.0;70.1;0.3005;71.48;26.54;357.73;66.78;0.331;13.73
649.0;69.77;-0.066;71.51;26.99;360.3;61.92;0.1;14.21
650.0;68.66;-0.3332;71.46;26.51;358.12;-14.08;0.245;13.94
651.0;65.17;-0.9607;71.29;26.68;357.57;-20.16;0.296;13.33
652.0;64.15;-0.2936;71.28;26.74;358.64;-18.82;0.176;13.96
653.0;60.52;-0.9825;71.33;26.88;355.97;-18.64;0.0;13.61
654.0;59.7;-0.2083;71.28;26.73;357.13;48.81;0.104;13.97
655.0;57.84;-0.5458;71.21;26.81;359.11;-17.56;0.404;13.63
656.0;55.54;-0.6451;71.26;26.79;355.94;-20.1;0.112;13.79
657.0;54.69;-0.1933;71.24;26.84;359.33;52.06;0.178;13.67
658.0;53.94;-0.1926;71.21;27.34;359.74;48.74;0.095;13.8
659.0;51.75;-0.6661;71.22;26.74;357.51;-16.68;0.409;13.66
660.0;49.74;-0.5312;71.33;26.88;358.52;-13.64;0.351;13.74
661.0;49.64;-0.0706;71.24;26.58;359.33;41.51;0.34;13.51
662.0;48.08;-0.3759;71.4;26.61;357.77;-21.94;0.318;13.92
663.0;47.47;-0.1306;71.21;26.77;358.96;39.53;0.0;13.84
664.0;46.74;-0.1913;71.16;26.6;357.02;35.5;0.038;13.4
665.0;44.94;-0.4935;71.17;26.7;357.27;-21.38;0.0;14.05
666.0;44.22;-0.2065;71.17;26.93;356.9;40.24;0.263;13.76
667.0;44.77;0.1786;71.17;26.9;358.27;43.44;0.394;13.84
668.0;43.5;-0.3666;71.29;26.93;359.49;-19.45;0.123;13.99
669.0;41.66;-0.5023;71.05;26.57;357.37;-19.31;0.145;13.88
670.0;43.1;0.4337;71.17;27.08;356.32;34.75;0.243;14.09
671.0;42.25;-0.2561;71.1;26.74;356.41;-12.0;0.232;13.73
672.0;41.17;-0.3269;70.95;26.65;357.87;-14.99;0.216;14.06
673.0;40.34;-0.2765;71.12;26.84;359.97;-15.17;0.166;13.83
674.0;41.2;0.1969;71.15;27.0;358.28;35.22;0.02;13.93
675.0;40.51;-0.2651;70.97;26.49;356.97;-18.79;0.185;13.9
676.0;41.36;0.2649;71.02;26.96;358.46;30.77;0.139;14.11
677.0;39.84;-0.3506;70.87;26.9;356.95;-18.86;0.206;13.98
678.0;39.5;-0.0376;70.9;26.92;356.83;36.07;0.323;13.69
679.0;38.87;-0.2404;71.07;26.86;356.49;27.98;0.021;13.64
680.0;36.73;-0.5648;70.93;26.96;359.06;-22.36;0.22;13.79
681.0;34.08;-0.6797;70.87;26.82;354.19;-15.65;0.0;13.61
682.0;32.1;-0.5692;70.97;26.72;358.39;-16.53;0.053;13.54
683.0;28.84;-0.9009;70.89;26.94;356.73;-14.14;0.0;13.27
684.0;26.85;-0.6328;70.89;26.68;356.77;-18.63;0.233;13.41
685.0;24.92;-0.5237;70.97;26.65;359.47;-18.43;0.287;14.3
686.0;23.92;-0.3211;70.81;26.87;356.25;-17.49;0.366;13.64
687.0;22.7;-0.33;70.82;27.07;356.31;-15.32;0.296;14.28
688.0;20.0;-0.8127;70.89;26.89;357.12;-22.41;0.22;13.9
689.0;18.6;-0.3669;70.95;26.8;357.88;-15.79;0.397;13.79
690.0;17.73;-0.2026;70.96;26.89;356.88;10.82;0.334;13.42
691.0;16.16;-0.4657;70.79;27.11;355.19;-18.06;0.189;13.8
692.0;15.74;-0.163;70.91;26.58;356.28;9.12;0.079;14.27
693.0;12.76;-0.9152;70.76;26.96;358.55;-21.18;0.429;14.19
694.0;12.62;-0.0475;70.96;27.09;357.51;10.13;0.506;13.87
695.0;11.73;-0.271;70.71;26.97;357.46;-24.25;0.092;13.51
696.0;9.96;-0.5556;70.9;26.84;356.98;-18.41;0.181;13.56
697.0;9.98;0.0236;70.73;26.66;356.16;6.84;0.148;13.59
698.0;9.27;-0.2151;70.94;26.97;359.38;6.7;0.168;14.12
699.0;9.01;-0.1149;70.81;26.74;356.89;0.48;0.221;14.21
700.0;9.16;0.0193;70.67;26.8;356.3;1.73;0.226;13.85
701.0;7.75;-0.3485;70.7;27.17;358.21;-13.66;0.393;13.72
702.0;6.72;-0.2603;70.8;26.98;356.22;-12.98;0.312;14.19
703.0;6.79;0.0143;70.81;26.7;356.4;-1.52;0.0;13.56
704.0;6.98;0.0764;70.71;26.98;356.92;1.93;0.332;13.81
705.0;5.32;-0.5074;70.71;26.98;356.9;-16.93;0.158;13.92
706.0;4.95;-0.1026;70.76;27.15;357.31;-2.36;0.16;13.58
707.0;5.44;0.144;70.7;26.94;359.39;-4.73;0.154;13.64
708.0;4.62;-0.2481;70.57;26.89;357.03;0.07;0.357;13.62
709.0;4.81;0.0699;70.6;26.95;353.83;1.27;0.32;14.15
710.0;7.95;0.8421;70.68;27.12;357.23;4.16;0.11;14.28
711.0;11.67;1.0543;70.74;26.76;357.02;6.14;0.241;13.83
712.0;13.69;0.5833;70.77;27.04;357.07;1.84;0.158;13.73
713.0;17.15;0.8449;70.69;27.13;357.16;8.82;0.362;13.65
714.0;19.68;0.7503;70.64;26.98;356.72;12.07;0.22;13.8
715.0;21.54;0.3948;70.66;27.15;356.75;13.85;0.199;13.66
716.0;23.63;0.5538;70.54;27.12;357.29;17.75;0.123;13.78
717.0;27.11;1.0077;70.57;27.18;355.96;26.45;0.389;13.9
718.0;28.47;0.3649;70.5;27.11;355.34;25.29;0.194;13.7
719.0;29.91;0.3413;70.46;26.94;360.02;19.46;0.39;13.75
720.0;32.18;0.5866;70.57;27.2;355.76;28.28;0.34;13.75
721.0;34.5;0.6878;70.55;27.0;356.69;30.34;0.026;13.72
722.0;33.94;-0.2333;70.57;26.82;354.83;24.02;0.404;13.69
723.0;35.79;0.5587;70.55;26.92;356.72;32.4;0.0;13.99
724.0;37.42;0.4495;70.51;26.79;355.39;29.9;0.384;13.36
725.0;40.04;0.6808;70.53;26.92;356.0;27.4;0.296;14.19
726.0;40.44;0.0882;70.46;26.95;357.66;35.24;0.0;13.83
727.0;41.76;0.3265;70.49;26.68;357.02;35.54;0.033;13.95
728.0;41.58;-0.0169;70.38;27.42;356.92;33.59;0.119;13.98
729.0;42.48;0.2805;70.46;26.82;354.27;35.21;0.365;13.62
730.0;44.25;0.4228;70.47;27.17;358.62;34.16;0.289;13.57
731.0;44.79;0.1332;70.35;27.5;354.74;39.99;0.007;13.54
732.0;45.8;0.2465;70.39;27.23;358.09;38.34;0.004;13.74
733.0;46.02;0.1143;70.33;27.18;357.35;39.39;0.355;13.97
734.0;46.92;0.196;70.32;26.76;356.8;41.01;0.24;13.65
735.0;47.43;0.2044;70.26;27.09;354.96;35.44;0.1;13.95
